Date,Time,TT,"Species
",#,Comments/Observations
13-Oct-03,1840,S,constrictor,1,REPTILE RUN ONLY
14-Oct-03,1055,S,erytrogramma,1,UNDER TRAP
14-Oct-03,1055,S,piscivorus,1,JUV
14-Oct-03,1800,S,constrictor,1,
15-Oct-03,1645,S,sauritus,1,ADULT NEW CAPTURE
16-Oct-03,0930,C,seminatrix,1,
17-Oct-03,1800,S,piscivorus,1,
17-Oct-03,1800,S,piscivorus,1,
17-Oct-03,0920,S,constrictor,1,
20-Oct-03,1710,S,platirhinos,1,ADULT MARKED
20-Oct-03,1710,S,constrictor,1,NEONATE UNMRKD
21-Oct-03,1715,S,platirhinos,1,UNMRKD
21-Oct-03,1715,S,piscivorus,1,
22-Oct-03,0940,B,sirtalis,1,NEONATE
22-Oct-03,0940,S,constrictor,1,NEONATE
23-Oct-03,1725,S,sauritus,1,
23-Oct-03,0915,S,piscivorus,1,
23-Oct-03,0915,S,sirtalis,1,
24-Oct-03,1705,B,sirtalis,1,NEONATE
25-Oct-03,1450,S,piscivorus,1,
26-Oct-03,1635,S,piscivorus,1,
26-Oct-03,1635,S,piscivorus,2,
28-Oct-03,1030,B,piscivorus,1,
29-Oct-03,1300,B,piscivorus,1,
30-Oct-03,1730,S,sauritus,1,
30-Oct-03,1730,S,piscivorus,1,JUV UNDER TRAP
30-Oct-03,1730,S,piscivorus,1,
31-Oct-03,1735,S,constrictor,1,
1-Nov-03,1215,S,piscivorus,1,
2-Nov-03,1545,S,piscivorus,1,
2-Nov-03,1545,S,piscivorus,1,
2-Nov-03,1545,S,piscivorus,2,
3-Nov-03,1020,S,piscivorus,1,
4-Nov-03,1115,C,occipitomaculata,1,
4-Nov-03,1115,S,piscivorus,1,
4-Nov-03,1115,S,piscivorus,1,
4-Nov-03,1115,S,piscivorus,1,NEONATE
4-Nov-03,1115,S,piscivorus,3,
4-Nov-03,1700,S,piscivorus,1,
5-Nov-03,0945,S,fasciata,1,
5-Nov-03,0945,S,fasciata,1,
5-Nov-03,0945,S,fasciata,1,
6-Nov-03,1724,S,piscivorus,2,2 IN ONE!
7-Nov-03,0900,S,fasciata,1,
8-Nov-03,1035,S,piscivorus,1,
11-Nov-03,1655,B,constrictor,1,
11-Nov-03,1655,S,constrictor,1,
12-Nov-03,0946,S,sauritus,1,
12-Nov-03,0946,S,piscivorus,1,
13-Nov-03,0940,S,piscivorus,1,YOUNG
15-Nov-03,1130,B,sauritus,1,NEONATE
16-Nov-03,1115,S,constrictor,1,NEONATE
17-Nov-03,1655,S,piscivorus,1,
17-Nov-03,1655,S,piscivorus,1,
19-Nov-03,0930,S,fasciata,1,
19-Nov-03,0930,S,fasciata,1,
19-Nov-03,0930,S,fasciata,2,
21-Nov-03,1513,S,alleghaniensis,1,
21-Nov-03,0945,S,platirhinos,1,
21-Nov-03,1513,S,constrictor,1,
22-Nov-03,1100,S,constrictor,1,NEONATE
26-Nov-03,0855,S,constrictor,1,MRKD
28-Nov-03,1615,S,fasciata,1,
10-Dec-03,1015,S,fasciata,1,
26-Dec-03,1400,S,fasciata,1,
26-Dec-03,1400,S,sauritus,1,
31-Dec-03,1115,S,sauritus,1,
3-Jan-04,1200,S,fasciata,1,
4-Jan-04,1530,S,fasciata,1,
4-Jan-04,1530,S,sauritus,1,
5-Jan-04,1510,S,fasciata,1,
6-Jan-04,1030,S,fasciata,1,
6-Jan-04,1030,S,fasciata,1,
